cell_id,phase,arch,size,heads,family_dropout,held_out,params,final_lm_loss,wall_seconds,top1_held,top5_held,ned_held,top1_id_avg,top5_id_avg,ned_id_avg,top1_drop,ned_drop,anomaly_acc_held,anomaly_auc_held,anomaly_acc_id_avg
lofo-transformer-medium-lm_only-fdp02-held_mosfet,lofo,transformer,medium,lm_only,0.2,mosfet,33646080,0.1110,244.0,,,,,,,,,,,
lofo-transformer-medium-multitask-fdp00-held_ic,lofo,transformer,medium,multitask,0.0,ic,34177548,0.0996,334.9,,,,,,,,,,,
lofo-transformer-medium-multitask-fdp00-held_igbt,lofo,transformer,medium,multitask,0.0,igbt,34177548,0.1096,347.2,,,,,,,,,,,
lofo-transformer-medium-multitask-fdp00-held_mosfet,lofo,transformer,medium,multitask,0.0,mosfet,34177548,0.1114,346.0,,,,,,,,,,,
lofo-transformer-medium-multitask-fdp02-held_ic,lofo,transformer,medium,multitask,0.2,ic,34177548,0.0996,353.2,0.5250,0.9600,0.6611,0.5825,0.9675,0.4537,0.0575,0.2074,1.0000,1.0000,1.0000
lofo-transformer-medium-multitask-fdp02-held_igbt,lofo,transformer,medium,multitask,0.2,igbt,34177548,0.1093,353.1,0.6800,0.9850,0.6440,0.6150,1.0000,0.3200,-0.0650,0.3240,1.0000,1.0000,1.0000
lofo-transformer-medium-multitask-fdp02-held_mosfet,lofo,transformer,medium,multitask,0.2,mosfet,34177548,0.1115,333.3,,,,,,,,,,,
lofo-transformer-small-lm_only-fdp00-held_ic,lofo,transformer,small,lm_only,0.0,ic,4238080,0.0988,63.7,0.6050,0.9750,0.5564,0.6000,0.9925,0.2319,-0.0050,0.3245,1.0000,1.0000,1.0000
lofo-transformer-small-lm_only-fdp00-held_igbt,lofo,transformer,small,lm_only,0.0,igbt,4238080,0.1090,63.0,0.5600,0.9550,0.5065,0.6275,1.0000,0.3164,0.0675,0.1901,1.0000,1.0000,1.0000
lofo-transformer-small-lm_only-fdp00-held_mosfet,lofo,transformer,small,lm_only,0.0,mosfet,4238080,0.1111,75.7,0.4550,1.0000,0.5126,0.5975,0.9900,0.4485,0.1425,0.0641,1.0000,1.0000,1.0000
lofo-transformer-small-lm_only-fdp02-held_ic,lofo,transformer,small,lm_only,0.2,ic,4238080,0.0989,81.5,0.6000,0.9750,0.5911,0.6025,0.9975,0.3683,0.0025,0.2228,1.0000,1.0000,1.0000
lofo-transformer-small-lm_only-fdp02-held_igbt,lofo,transformer,small,lm_only,0.2,igbt,4238080,0.1091,77.1,0.6150,0.8900,0.4493,0.6200,0.9925,0.4432,0.0050,0.0060,1.0000,1.0000,1.0000
lofo-transformer-small-lm_only-fdp02-held_mosfet,lofo,transformer,small,lm_only,0.2,mosfet,4238080,0.1111,64.0,0.5300,1.0000,0.6287,0.5750,0.9450,0.5697,0.0450,0.0590,1.0000,1.0000,1.0000
lofo-transformer-small-multitask-fdp00-held_ic,lofo,transformer,small,multitask,0.0,ic,4372748,0.1000,97.6,0.5750,0.9650,0.6215,0.5050,0.8600,0.4157,-0.0700,0.2058,1.0000,1.0000,1.0000
lofo-transformer-small-multitask-fdp00-held_igbt,lofo,transformer,small,multitask,0.0,igbt,4372748,0.1098,111.1,0.6900,0.9850,0.5047,0.6475,1.0000,0.3064,-0.0425,0.1983,1.0000,1.0000,1.0000
lofo-transformer-small-multitask-fdp00-held_mosfet,lofo,transformer,small,multitask,0.0,mosfet,4372748,0.1120,111.2,0.5200,0.9000,0.5518,0.5425,0.8275,0.4590,0.0225,0.0928,1.0000,1.0000,1.0000
lofo-transformer-small-multitask-fdp02-held_ic,lofo,transformer,small,multitask,0.2,ic,4372748,0.1004,93.5,0.6050,0.9600,0.5528,0.5775,0.9000,0.3598,-0.0275,0.1930,1.0000,1.0000,1.0000
lofo-transformer-small-multitask-fdp02-held_igbt,lofo,transformer,small,multitask,0.2,igbt,4372748,0.1101,93.1,0.6700,0.9850,0.6153,0.6600,0.9650,0.3537,-0.0100,0.2616,1.0000,1.0000,1.0000
lofo-transformer-small-multitask-fdp02-held_mosfet,lofo,transformer,small,multitask,0.2,mosfet,4372748,0.1122,92.0,0.5200,0.9550,0.6063,0.6250,0.9650,0.5882,0.1050,0.0181,1.0000,1.0000,1.0000
lofo-xlstm-medium-lm_only-fdp00-held_ic,lofo,xlstm,medium,lm_only,0.0,ic,12051008,0.0998,512.8,0.5900,0.9750,0.5464,0.4850,0.8900,0.5222,-0.1050,0.0242,1.0000,1.0000,1.0000
lofo-xlstm-medium-lm_only-fdp00-held_igbt,lofo,xlstm,medium,lm_only,0.0,igbt,12051008,0.1102,518.7,0.6950,0.9850,0.4207,0.6050,1.0000,0.2957,-0.0900,0.1250,1.0000,1.0000,1.0000
lofo-xlstm-medium-lm_only-fdp00-held_mosfet,lofo,xlstm,medium,lm_only,0.0,mosfet,12051008,0.1203,514.8,0.5200,0.9550,0.4979,0.6075,0.9825,0.3930,0.0875,0.1049,1.0000,1.0000,1.0000
lofo-xlstm-medium-lm_only-fdp02-held_ic,lofo,xlstm,medium,lm_only,0.2,ic,12051008,0.1015,515.3,0.5750,0.9750,0.5694,0.5500,0.9000,0.4644,-0.0250,0.1051,1.0000,1.0000,1.0000
lofo-xlstm-medium-lm_only-fdp02-held_igbt,lofo,xlstm,medium,lm_only,0.2,igbt,12051008,0.1103,515.4,0.6750,0.9850,0.4182,0.6200,1.0000,0.3001,-0.0550,0.1181,1.0000,1.0000,1.0000
lofo-xlstm-medium-lm_only-fdp02-held_mosfet,lofo,xlstm,medium,lm_only,0.2,mosfet,12051008,0.1192,515.5,0.5250,0.9550,0.5095,0.6525,1.0000,0.3784,0.1275,0.1311,1.0000,1.0000,1.0000
lofo-xlstm-medium-multitask-fdp00-held_ic,lofo,xlstm,medium,multitask,0.0,ic,12582476,0.1051,690.6,,,,,,,,,,,
lofo-xlstm-medium-multitask-fdp00-held_igbt,lofo,xlstm,medium,multitask,0.0,igbt,12582476,0.1125,697.2,0.6600,0.9800,0.4188,0.6000,0.9975,0.3540,-0.0600,0.0649,0.5800,0.2000,1.0000
lofo-xlstm-medium-multitask-fdp00-held_mosfet,lofo,xlstm,medium,multitask,0.0,mosfet,12582476,0.1152,702.3,0.5200,0.9550,0.5181,0.6625,1.0000,0.3455,0.1425,0.1727,1.0000,1.0000,1.0000
lofo-xlstm-medium-multitask-fdp02-held_ic,lofo,xlstm,medium,multitask,0.2,ic,12582476,0.1025,697.9,,,,,,,,,,,
lofo-xlstm-medium-multitask-fdp02-held_igbt,lofo,xlstm,medium,multitask,0.2,igbt,12582476,0.1142,693.8,,,,,,,,,,,
lofo-xlstm-medium-multitask-fdp02-held_mosfet,lofo,xlstm,medium,multitask,0.2,mosfet,12582476,0.1148,694.9,,,,,,,,,,,
lofo-xlstm-small-lm_only-fdp00-held_ic,lofo,xlstm,small,lm_only,0.0,ic,1731344,0.1053,189.5,0.5600,0.9750,0.5480,0.6125,0.9675,0.2859,0.0525,0.2621,1.0000,1.0000,1.0000
lofo-xlstm-small-lm_only-fdp00-held_igbt,lofo,xlstm,small,lm_only,0.0,igbt,1731344,0.1166,187.1,0.7150,0.9800,0.4924,0.6075,1.0000,0.2977,-0.1075,0.1947,1.0000,1.0000,1.0000
lofo-xlstm-small-lm_only-fdp00-held_mosfet,lofo,xlstm,small,lm_only,0.0,mosfet,1731344,0.1186,191.7,0.5450,0.9500,0.5691,0.6375,0.9975,0.3795,0.0925,0.1896,1.0000,1.0000,1.0000
lofo-xlstm-small-lm_only-fdp02-held_ic,lofo,xlstm,small,lm_only,0.2,ic,1731344,0.1066,187.7,0.5650,0.9750,0.5467,0.6175,0.9975,0.3452,0.0525,0.2015,1.0000,1.0000,1.0000
lofo-xlstm-small-lm_only-fdp02-held_igbt,lofo,xlstm,small,lm_only,0.2,igbt,1731344,0.1203,185.5,0.7250,0.9850,0.4754,0.6125,1.0000,0.3029,-0.1125,0.1725,1.0000,1.0000,1.0000
lofo-xlstm-small-lm_only-fdp02-held_mosfet,lofo,xlstm,small,lm_only,0.2,mosfet,1731344,0.1214,185.8,0.5750,0.9450,0.5999,0.6075,0.9700,0.4223,0.0325,0.1776,1.0000,1.0000,1.0000
lofo-xlstm-small-multitask-fdp00-held_ic,lofo,xlstm,small,multitask,0.0,ic,1866012,0.1078,258.2,0.5200,0.9750,0.5534,0.6050,0.9650,0.3212,0.0850,0.2322,1.0000,1.0000,1.0000
lofo-xlstm-small-multitask-fdp00-held_igbt,lofo,xlstm,small,multitask,0.0,igbt,1866012,0.1199,258.2,0.6650,0.9800,0.5390,0.5950,1.0000,0.3610,-0.0700,0.1779,0.5000,0.0000,1.0000
lofo-xlstm-small-multitask-fdp00-held_mosfet,lofo,xlstm,small,multitask,0.0,mosfet,1866012,0.1223,258.6,0.5700,1.0000,0.7465,0.6275,1.0000,0.3820,0.0575,0.3645,1.0000,1.0000,1.0000
lofo-xlstm-small-multitask-fdp02-held_ic,lofo,xlstm,small,multitask,0.2,ic,1866012,0.1084,256.9,0.5100,0.9750,0.5530,0.6350,1.0000,0.3093,0.1250,0.2437,1.0000,1.0000,1.0000
lofo-xlstm-small-multitask-fdp02-held_igbt,lofo,xlstm,small,multitask,0.2,igbt,1866012,0.1227,258.2,0.6800,0.9850,0.5078,0.6150,1.0000,0.3278,-0.0650,0.1800,0.5000,0.0000,1.0000
lofo-xlstm-small-multitask-fdp02-held_mosfet,lofo,xlstm,small,multitask,0.2,mosfet,1866012,0.1216,257.1,0.5500,0.9850,0.7214,0.6325,1.0000,0.3751,0.0825,0.3463,1.0000,1.0000,1.0000
